sequenceNumber,underArea,aboveArea,totalArea,ratio_underAbove,ratio_aboveUnder,ratio_totalUnder,ratio_totalAbove,ratio_underTotal,ratio_aboveTotal,ratio_prevUnderActUnder,ratio_actUnderPrevUnder,ratio_prevAboveActAbove,ratio_actAbovePrevAbove,ratio_prevTotalActTotal,ratio_actTotalPrevTotal,ratio_prevUnderActAbove,ratio_actUnderPrevAbove,ratio_prevAboveActUnder,ratio_actAbovePrevUnder,ratio_prevTotalActUnder,ratio_actTotalPrevUnder,ratio_prevTotalActAbove,ratio_actTotalPrevAbove,ratio_prevUnderActTotal,ratio_actUnderPrevTotal,ratio_prevAboveActTotal,ratio_actAbovePrevTotal,ratio_nextUnderActUnder,ratio_actUnderNextUnder,ratio_nextAboveActAbove,ratio_actAboveNextAbove,ratio_nextTotalActTotal,ratio_actTotalNextTotal,ratio_nextUnderActAbove,ratio_actUnderNextAbove,ratio_nextAboveActUnder,ratio_actAboveNextUnder,ratio_nextTotalActUnder,ratio_actTotalNextUnder,ratio_nextTotalActAbove,ratio_actTotalNextAbove,ratio_nextUnderActTotal,ratio_actUnderNextTotal,ratio_nextAboveActTotal,ratio_actAboveNextTotal
89,5032.831431050849,7783.168568949151,12816.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.6466301463814188,0.39269908169872414,0.6073009183012759,0.3819444444444445,2.618181818181818,0.3819444444444444,2.618181818181818,0.3819444444444444,2.618181818181818,0.24697679202068085,1.6929952923440785,0.5906690966726937,4.048963434249579,0.9726135411171382,6.667145252431397,0.6289212364651253,4.311177110525897,0.1499892325932627,1.028157595720296,0.23195521185118176,1.5900242224615222,2.618181818181818,0.3819444444444445,2.618181818181818,0.3819444444444444,2.618181818181818,0.3819444444444444,1.6929952923440785,0.24697679202068085,4.048963434249579,0.5906690966726937,6.667145252431397,0.9726135411171382,4.311177110525897,0.6289212364651253,1.028157595720296,0.1499892325932627,1.5900242224615222,0.23195521185118176
144,13175.839589155592,20376.160410844408,33552.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.6466301463814188,0.39269908169872414,0.6073009183012759,0.38197424892703863,2.6179775280898876,0.38197424892703863,2.6179775280898876,0.38197424892703863,2.6179775280898876,0.24699606449762354,1.6928631922120292,0.5907151886817982,4.048647503894223,0.9726894376088367,6.66662503198411,0.6289703134246621,4.310840720301917,0.15000093678620793,1.0280773711887947,0.2319733121408307,1.589900156901093,2.6179775280898876,0.38197424892703863,2.6179775280898876,0.38197424892703863,2.6179775280898876,0.38197424892703863,1.6928631922120292,0.24699606449762354,4.048647503894223,0.5907151886817982,6.66662503198411,0.9726894376088367,4.310840720301917,0.6289703134246621,1.0280773711887947,0.15000093678620793,1.589900156901093,0.2319733121408307
233,34495.08003549762,53345.91996450238,87841.0,0.6466301463814188,1.5464790894703258,2.5464790894703255,1.6466301463814188,0.3926990816987241,0.6073009183012759,0.38196286472148544,2.6180555555555554,0.3819628647214854,2.618055555555556,0.3819628647214854,2.6180555555555554,0.2469887031271202,1.6929136471235757,0.5906975832459599,4.048768171738283,0.9726604479674453,6.666823727293838,0.6289515678486056,4.310969202679131,0.1499964662191413,1.0281080125029096,0.2319663985023441,1.589947543052646,2.6180555555555554,0.38196286472148544,2.618055555555556,0.3819628647214854,2.6180555555555554,0.3819628647214854,1.6929136471235757,0.2469887031271202,4.048768171738283,0.5906975832459599,6.666823727293838,0.9726604479674453,4.310969202679131,0.6289515678486056,1.0281080125029096,0.1499964662191413,1.589947543052646,0.2319663985023441
377,90309.00781825559,139660.99218174443,229970.0,0.6466301463814188,1.5464790894703258,2.5464790894703255,1.6466301463814188,0.39269908169872414,0.607300918301276,0.38196721311475407,2.6180257510729614,0.38196721311475407,2.6180257510729614,0.3819672131147541,2.6180257510729614,0.24699151492929602,1.692894374646633,0.5907043079452228,4.048722079729179,0.9726715210599768,6.66674783080214,0.6289587280440501,4.310920125719594,0.1499981738291848,1.0280963083099646,0.2319690392855693,1.589929442762997,2.6180257510729614,0.38196721311475407,2.6180257510729614,0.38196721311475407,2.6180257510729614,0.3819672131147541,1.692894374646633,0.24699151492929602,4.048722079729179,0.5907043079452228,6.66674783080214,0.9726715210599768,4.310920125719594,0.6289587280440501,1.0280963083099646,0.1499981738291848,1.589929442762997,0.2319690392855693
610,236432.33611835085,365637.66388164915,602070.0,0.6466301463814189,1.5464790894703253,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.3819655521783181,2.618037135278515,0.3819655521783182,2.6180371352785143,0.3819655521783181,2.618037135278515,0.24699044091772537,1.6929017360171363,0.5907017393417555,4.048739685165017,0.9726672915200736,6.666776820443531,0.6289559930960436,4.310938871295651,0.14999752158097163,1.028100778877031,0.23196803059734653,1.5899363564014835,2.618037135278515,0.3819655521783181,2.6180371352785143,0.3819655521783182,2.618037135278515,0.3819655521783181,1.6929017360171363,0.24699044091772537,4.048739685165017,0.5907017393417555,6.666776820443531,0.9726672915200736,4.310938871295651,0.6289559930960436,1.028100778877031,0.14999752158097163,1.5899363564014835,0.23196803059734653
987,618987.6078377152,957251.3921622847,1576239.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.3926990816987241,0.6073009183012759,0.3819661865998748,2.6180327868852458,0.3819661865998748,2.6180327868852458,0.38196618659987475,2.6180327868852458,0.24699085115382943,1.6928989242149606,0.5907027204614268,4.048732960465753,0.9726689070613016,6.666765747351,0.6289570377537042,4.310931711100206,0.14999777071773435,1.0280990712669875,0.23196841588214043,1.5899337156182582,2.6180327868852458,0.3819661865998748,2.6180327868852458,0.3819661865998748,2.6180327868852458,0.38196618659987475,1.6928989242149606,0.24699085115382943,4.048732960465753,0.5907027204614268,6.666765747351,0.9726689070613016,4.310931711100206,0.6289570377537042,1.0280990712669875,0.14999777071773435,1.5899337156182582,0.23196841588214043
1597,1620530.8800938765,2506117.1199061233,4126648.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.646630146381419,0.39269908169872414,0.6073009183012759,0.3819659442724458,2.618034447821682,0.38196594427244585,2.6180344478216817,0.38196594427244585,2.6180344478216817,0.24699069445760855,1.6928999982265314,0.5907023457071251,4.048735529069221,0.972668289979571,6.666769976890904,0.6289566387300544,4.310934446048214,0.1499976755559755,1.0280997235152007,0.2319682687164703,1.589934724306481,2.618034447821682,0.3819659442724458,2.6180344478216817,0.38196594427244585,2.6180344478216817,0.38196594427244585,1.6928999982265314,0.24699069445760855,4.048735529069221,0.5907023457071251,6.666769976890904,0.972668289979571,4.310934446048214,0.6289566387300544,1.0280997235152007,0.1499976755559755,1.589934724306481,0.2319682687164703
2584,4242604.639744833,6561099.360255167,10803704.0,0.646630146381419,1.5464790894703253,2.546479089470325,1.646630146381419,0.3926990816987242,0.6073009183012759,0.38196603683329344,2.6180338134001255,0.38196603683329344,2.618033813400125,0.38196603683329344,2.618033813400125,0.246990754310243,1.6928995879904276,0.5907024888505404,4.048734547949549,0.9726685256838339,6.666768361349675,0.6289567911435365,4.310933401390553,0.14999771190453537,1.0280994743784382,0.23196832492875807,1.5899343390216871,2.6180338134001255,0.38196603683329344,2.618033813400125,0.38196603683329344,2.618033813400125,0.38196603683329344,1.6928995879904276,0.246990754310243,4.048734547949549,0.5907024888505404,6.666768361349675,0.9726685256838339,4.310933401390553,0.6289567911435365,1.0280994743784382,0.14999771190453537,1.5899343390216871,0.23196832492875807
4181,11107283.431839705,17177181.568160295,28284465.0,0.646630146381419,1.5464790894703253,2.546479089470325,1.646630146381419,0.3926990816987242,0.6073009183012759,0.3819660014781966,2.6180340557275543,0.3819660014781966,2.6180340557275543,0.3819660014781966,2.6180340557275543,0.2469907314485716,1.6928997446866485,0.5907024341746224,4.048734922703851,0.972668435652819,6.666768978431405,0.6289567329267681,4.310933800414203,0.14999769802062132,1.028099569540197,0.23196830345757527,1.5899344861873572,2.6180340557275543,0.3819660014781966,2.6180340557275543,0.3819660014781966,2.6180340557275543,0.3819660014781966,1.6928997446866485,0.2469907314485716,4.048734922703851,0.5907024341746224,6.666768978431405,0.972668435652819,4.310933800414203,0.6289567329267681,1.028099569540197,0.14999769802062132,1.5899344861873572,0.23196830345757527
6765,29079245.263075195,44970444.736924805,74049690.0,0.6466301463814189,1.5464790894703255,2.5464790894703255,1.6466301463814188,0.39269908169872414,0.6073009183012759,0.3819660149826421,2.618033963166706,0.38196601498264204,2.618033963166707,0.38196601498264204,2.6180339631667064,0.2469907401809531,1.6928996848340139,0.590702455058965,4.048734779560435,0.9726684700416071,6.666768742727142,0.6289567551635952,4.31093364800072,0.14999770332380466,1.028099533191637,0.2319683116588374,1.5899344299750695,2.618033963166706,0.3819660149826421,2.618033963166707,0.38196601498264204,2.6180339631667064,0.38196601498264204,1.6928996848340139,0.2469907401809531,4.048734779560435,0.590702455058965,6.666768742727142,0.9726684700416071,4.31093364800072,0.6289567551635952,1.028099533191637,0.14999770332380466,1.5899344299750695,0.2319683116588374
